,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
0,"(0, 0.033356078)","(1, 0.033356342)","(2, 0.033356924)","(3, 0.69978845)","(4, 0.033356067)","(5, 0.033358797)","(6, 0.033357322)","(7, 0.033356648)","(8, 0.033356067)","(9, 0.03335734)"
1,"(0, 0.011117322)","(1, 0.011117761)","(2, 0.011118603)","(3, 0.89993423)","(4, 0.011117504)","(5, 0.011118432)","(6, 0.0111185275)","(7, 0.011122206)","(8, 0.011117828)","(9, 0.011117533)"
2,"(0, 0.01428908)","(1, 0.014289001)","(2, 0.87139904)","(3, 0.014289991)","(4, 0.01428817)","(5, 0.014289674)","(6, 0.014288736)","(7, 0.014289309)","(8, 0.014288543)","(9, 0.014288494)"
3,"(0, 0.020010082)","(1, 0.020009303)","(2, 0.020019712)","(3, 0.020012802)","(4, 0.020010235)","(5, 0.020010099)","(6, 0.020013649)","(7, 0.020011878)","(8, 0.020010421)","(9, 0.8198918)"
4,"(0, 0.05000606)","(1, 0.050007015)","(2, 0.54990685)","(3, 0.050014187)","(4, 0.050011203)","(5, 0.050015617)","(6, 0.050010655)","(7, 0.05001277)","(8, 0.050009202)","(9, 0.050006393)"
5,"(0, 0.88680655)","(2, 0.066087)",,,,,,,,
6,"(4, 0.924955)",,,,,,,,,
7,"(0, 0.9525914)",,,,,,,,,
8,"(0, 0.012509121)","(1, 0.012508701)","(2, 0.012510528)","(3, 0.012508708)","(4, 0.012508758)","(5, 0.88741845)","(6, 0.012508646)","(7, 0.012509655)","(8, 0.012509051)","(9, 0.012508352)"
9,"(0, 0.01250515)","(1, 0.012505299)","(2, 0.012506495)","(3, 0.8874504)","(4, 0.012505852)","(5, 0.012506112)","(6, 0.012506111)","(7, 0.012504935)","(8, 0.012505181)","(9, 0.012504464)"
10,"(3, 0.95260257)",,,,,,,,,
11,"(8, 0.9181604)",,,,,,,,,
12,"(0, 0.1)","(1, 0.1)","(2, 0.1)","(3, 0.1)","(4, 0.1)","(5, 0.1)","(6, 0.1)","(7, 0.1)","(8, 0.1)","(9, 0.1)"
13,"(6, 0.9525888)",,,,,,,,,
14,"(7, 0.94703215)",,,,,,,,,
15,"(0, 0.1)","(1, 0.1)","(2, 0.1)","(3, 0.1)","(4, 0.1)","(5, 0.1)","(6, 0.1)","(7, 0.1)","(8, 0.1)","(9, 0.1)"
16,"(7, 0.9653643)",,,,,,,,,
17,"(0, 0.1)","(1, 0.1)","(2, 0.1)","(3, 0.1)","(4, 0.1)","(5, 0.1)","(6, 0.1)","(7, 0.1)","(8, 0.1)","(9, 0.1)"
